customer_id,order_id,product_id,category,state,customer_type,order_date,payment_amount_in_rupees,payment_id,payment_method,product_rating,retention_status,campaign_name,amount_spend_on_per_id_of_that_particular_campaign,email_open,marketing_channel,on_time_delivery,operational_cost,warehouse,order_processing_time,return
de38ba87-6ba1-4f4f-9e99-cc53c10d3567,3ac09924-2ca8-4667-b4b2-ba733736606a,2b13b46d-329b-45d2-be81-0d4893067050,Electronics,West Bengal,Returning,2024-04-20,28972.12,c409850a-1cc1-41d4-8d30-e2fef3e488fb,UPI,2,no,Monsoon Offer,118.47,yes,Affiliate,no,1844.19,Ahmedabad,3,no
c1bf6e0b-453f-4f8b-bd9d-9e0adee97795,06a73270-cdb3-4924-adf2-e259976d0ada,7568953a-eb87-4eff-899a-1d7ee364ae81,Clothing,Rajasthan,New,2023-08-24,48559.37,5efe17e9-1f9c-422c-84f2-41aaffd93729,UPI,1,no,Monsoon Offer,1214.85,no,Affiliate,yes,136.99,Kolkata,6,no
857ae6aa-5253-47b7-bf88-965791a4d9a4,f7aabb25-ed2f-48a5-b985-0fbe91ba5979,b7793293-0dc7-4c6f-a833-0bb28d8b0ecd,Clothing,Maharashtra,Returning,2019-11-16,19978.14,35210557-b357-405a-8671-4f7b26afef2d,UPI,1,no,New Year Bash,642.93,yes,Search Engine,yes,1638.4,Chennai,5,no
54754c98-7335-4181-945a-483d056d4f09,f08b33af-bc51-4e77-8ff3-9986bb8bf294,40843544-3a94-4c50-96ee-b78c451a823e,Books,Gujarat,New,2023-01-15,18743.11,1e466377-f5f8-44a0-b02c-47c982a712bb,Cash on Delivery,2,no,Summer Bonanza,3635.51,no,Affiliate,no,1623.05,Chennai,8,yes
2aa63cc6-1ab3-4f2a-aa51-cc06e502937c,97216ae0-430b-4178-884c-37892faf498e,201dd356-51b0-4ba5-ba7a-78df17564e69,Home Appliances,Tamil Nadu,New,2021-05-11,35948.43,337a48fe-1411-414c-8cc6-f0e580030f1b,Debit Card,3,yes,Diwali Dhamaka,574.23,yes,Email,yes,1577.1,Kolkata,10,no
194291c6-1fa4-427b-974b-644d383a4f66,36ca1974-2ea4-4736-8e7c-041144f51e5c,beb89733-9799-4245-a9eb-78d0e246013d,Beauty Products,Karnataka,New,2022-11-02,15378.21,fe505080-8a14-4ea6-b476-1f30932efc8d,Debit Card,2,no,Winter Sale,261.0,yes,Social Media,no,1033.24,Mumbai,1,no
4cd7c873-f6c5-4b16-9b3e-3b8d1c1cc607,2a9423c1-14d2-4cce-8b3d-a052b308f8f0,175542bc-28b4-4819-a42b-908a65cc6b11,Beauty Products,Gujarat,Returning,2021-03-02,35370.08,4e61ac16-d934-474b-aba5-08aa1f9e4a0d,Net Banking,3,no,Monsoon Offer,4659.02,yes,Affiliate,yes,636.74,Kolkata,4,yes
78c25b05-d25f-4fe7-9959-515fed5fe6be,bbfa5bc0-e07b-4a68-9346-ed9465f8c39e,90ba4680-9388-4713-9a9d-5009a2d1e3ba,Beauty Products,West Bengal,Returning,2022-07-30,30442.06,752bd457-5fc1-4858-bca6-dca425a496d1,Debit Card,5,yes,Summer Bonanza,2789.09,no,Direct,yes,157.77,Mumbai,5,no
0fad9319-7a44-488f-98fc-77aa6970a6a3,bf5182f3-790f-454a-87bb-b3336927645d,1d599574-10b2-48da-b8d0-4e85382bb860,Electronics,Uttar Pradesh,Returning,2022-04-05,2219.74,a6c90800-5239-4d0f-9d9f-cb6a6978d337,Cash on Delivery,2,no,Winter Sale,3748.97,yes,Direct,no,1899.31,Chennai,9,no
6306b590-868e-4d50-90b7-5bd1971e1563,c3f17ad7-42d6-4d44-924f-a004d5c9c683,fafd96d2-dbfa-4650-b2eb-4ec6d7f09837,Home Appliances,Maharashtra,New,2021-04-30,13228.91,dfa72cf8-99e8-448c-90e6-783b5c29a06f,Debit Card,5,yes,Summer Bonanza,2245.48,yes,Search Engine,yes,1177.03,Chennai,10,no
